Review
"Kelamaan saya lihat ini aplikasi makin aneh, saya kasih rating 1, bukan karna apa. Ketika lagi terburu-buru malah dapat driver yang jauh. Tolong lah perbaiki systemnya pilihkan driver jangan jauh2. kasihan driver dengan tarif yg tidak seberapa harus menjemput 9 - 15 menit. Padahal banyak driver yg deket2 <200m pada nganggur."
"aplikasi nya banyak bug nih , jadi kalo pesan gofood kadang saya sama driver yang antar makanan gak bisa kirim foto saya nya gak ada tampilan nya padahal biasanya ada tapi sekarang selalu bug gak ada atau gak bisa telpon lebih parah nya jadinya saya kena dampak buruk nya dari driver nya tolong di benerin bug nya yah!!!"
"khusus buat mobil, rutenya dibuat yang tercepat donk jek. jadi berdebat mulu dengan driver masalah rute. kalau kita lakukan edit rute, ada biaya tambahan lagi, diluar penyesuaian dengan rute tercepat (toll)."
"driver sekarang seenaknya bgt, banyak banget icon driver yang dekat dengan lokasi yang saya pesan tapi sama sekali gada yang ambil pesanan hemat saya, jadi fitur itu gunanya apa ya? tolong di edukasi lagi buat para drivernya deh, ga motor ga mobil sama aja."
"Pesanan saya di E-commerce dengan GO-SEND instan sudah berkali-kali tidak ada kurir dan tidak ada solusi pengirimannya. Jika GO-JEK tidak bisa menyediakan driver, jangan kerja sama karena sudah sangat merugikan customer."
"kalau pesan go car prioritas selalu datangnya lama, lbh dr 10 menit, pdhl sudah pesan prioritas, dan selalu tercantum di mapsnya kurnag dr 5 menit, namun kemudian mobil tidak datang2, dan maps berubah jd diatas 10 menit. Pengemudi susah di tlf. Lalu apa bedanya layanan prioritas dengan yg biasa? komplen ke cust service pun susah"
"Aplikasi sering menutup sendiri, Payah !!! sebagai driver bukan di kasih kesejahteraan malah di kasih aplikasi error terus, Saya akan perbaiki jika sudah di perbaiki. saya gojek driver jakarta, tapi orderannya selalu ke bekasi, bekasi yang sering banjir pula saya di arahkan orderannya."
"entah kenapa tiap topup dari e wallet lain pasti nominalnya berkurang dikit, contoh topup 65.500 (plus biaya admin +999) ehh yang muncul malah cuman 64.500 yah mungkin nilai ini kecil tapi klo nilai sekecil ini dibiarin kredibilitas ni aplikasi perlu dipertanyakan"
"kecewa berat buat gopaylaternya, saya pengguna yg selalu tepat waktu bayarnya. bahkan belum japo sudah saya bayar. hari ini setelah saya bayar, saya mau gunakan buat beli hadiah gopaylaternya langsung di blokir. lucu sekali pengguna setia Dan benar makenya malah di blokir. apa gak bisa liat riwayat pembayaran saya. kecewa berat. selalu buat kecewa"
"saya pengguna gojek sejak lama, tapi masih belum merata di kota kecil. dan biasanya di salah satu kota minta tambahan diluar aplikasi hampir separuh harga contoh ada oknum2 driver terutama mobil dinganjuk. pernah saya laporkan untung pihak gojek mau ngembalikan dan ada bukti chat dari driver minta tambahan. untuk telepon kualitasnya bisa di tingkatkan. dan yang paling tidak saya suka saya sudah pesan gojek motor comfort tapi yang datang motor listrik. udah harga mahal kualitas tidak enak."
"eh gojek, tolong langsung di update ya!! gua lagi nyari gambar buat kirim ke driver tapi malah gambar lain yang ke kirim, tolong lah klo lagi milih gambar biar bisa di ceklis dulu atau ada confirm buat make sure gambar ga salah!!! lah ini sekali pencet langsung ke kirim, klo salah pencet lagi scrol ke kirim foto lain!!! tolong di updateeee"
"aplikasi makin lama makin berat aneh, butuh 2 menit lebih untuk load aplikasi hingga ke UI pesan driver, bahkan load gambar autocad btuh waktu 50% lebih cepat aneh aneh"
"Saya dpt driver gocar yg emosian. Dia galak di telp, saya bilang dia emosian. Dia langsung cancel saat udah di titik, jadi ga ke screenshoot krn langsung ganti driver lain. Kalau bisa riwayat driver yg sempet nyangkut ditampilkan. Kita sama2 manusia, sama2 punya emosi. Tapi baiknya dalam bekerja itu profesional. Seleksi MMPI untuk driver gojek. Saya tdk buat ulasan di pusat bantuan aplikasi karena tidak ada menu bantuan yang sesuai dgn kondisi ini."
"aga kecewa dengan masalah yang di alami, saya pesen 1 driver tetapi yang dateng 2 drive, karena pemesanan ganda, padahal saya tidak melakukan pemesanan 2 kali secara langsung karena pesanan yang awal belum menemuka driver maka saya close lalu mencari driver lain dengan harga tinggi agar bisa mendapatkan driver dengan cepat, tetapi knapa tiba² ada 2 driver yang menjemput saya, mohon perbaiki masalah ini karena saya mendapat informasi dari driver katanya masalah sperti ini sudah lama terjadi"
"first time rate aplikasi, bintang 1, manajamen terlalu jelek, tidak dapat driver tidak bisa batalkan pesanan harus nunggu, sampai satu jam lebih, ujung ujung nya tetap ga dapat driver, orang mau beli makan karna lapar, kalau nunggu satu jam lebih lemes ege dan tetap makanan tidak dtg, kalau sekira emg gaada driver ambil harus nya bisa di batalkann!!!!!!"
"untuk go pinjam tolong di perbaiki lagi penilaian nya , saya selalu bayar ontime bahkan di lunasi terus sebelum waktu nya tapi limit ga bisa ditarik lagi , info nya limit bisa ditarik berulang ulang , gimana sih"
"Beberapa bulan terakhir sering sulit sekali mendapat driver. Ini antara drivernya yang ga mau pick up atau ada kesalahan di sistem. Padahal ada banyak driver di sekitar lokasi pick up, waktunya pun bukan rush hour dan juga sedang tidak hujan. Kadang juga dapetnya jauh sekali dari lokasi, jadi harus nunggu lama atau driver minta cancel"
"saya tidak mengurangi Bintang,tapi tolong drivernya di seleksi banyak driver khususnya mobil gak ada attitude,kalo ga mau ambil orderan driver harusnya bilang, bukan diam aja kalo di chat tetapi posisi tidak bergerak dan ada juga makin lama makin jauh"
"tolong untuk apk ini segera diperbaiki, saya selaku kasir yg bekerja ditempat sy sering mendapati complement krna makanan yg sudah jadi berjam² tetapi tdk mendapat driver, berujung kita nombok untuk mengganti makanan tsb, seharusnya ada fitur cancel otomatis apabila 15-30 menit tdk dapat driver"
"harusnya kalau akun sering di pakai, trip nya udah banyak penggunaan ada semacam apresiasi dari pihak aplikasi, enah diskonnya di banyakin atau ada THR atau ada poin yang bisa di kumpulan kaya aplikasi sebelah deh, jangan udah lama pakai aplikasi GO-JEK malah makin ke sini ongkir lebih mahal ketimbang aplikasi sebelah, di aplikasi sebelah 18 ribu di gojek 30 ribu, padahal ke tempat yg sama"
"saya pengguna gojek sejak pertama muncul, namun sejak hujan mulai sering intens di jabodetabek, pada aplikasi saya sering sulit mendapatkan goride, kl pun dapat pasti yg jauh lokasinya. selain itu maps yg ada pada driver sering kali mengarahkan ke jalan yg lebih jauh padahal banyak jalan yang lbh dekat. mohon dapat di perbaiki sistem nya agar customer yg mengalami seperti saya bs kembali nyaman menggunakan gojek. terimakasih"
susah banget nentuin titiknya padahal gojekan aplikasi sudah lama tp kalah sama grab yg gampang banget nentuin alamat belum ganti tujuan bayarnya mahal banget ada tambahan lain lainua
"Ini kenapa dah pesanan gofood saya sering cancel dari sistem? TANPA NOTIFIKASI PEMBATALAN! Kasian loh driver dan resto, ada driver yang udah sempet dateng ke resto, resto juga pasti udah menyiapkan makanan kita. Saya laperrrr, ekspektasi saya jadi buyar wkwk ga nafsu lagi order ulang 🙄😒"
"Aplikasi ini bagus sih ya, dapet driver nya lumayan cepet, tapi kalo ku saran tambahin metode pembayaran nya sih terutama (Qris) buat memudahkan pembayaran dan praktis buat orang yang jarang megang cash"
"sebenarnya aplikasinya bagus, saya suka dan nyaman menggunakannya apalagi fitur-fitur yang bukan sekedar ojek online tetapi transaksi online juga sampai saya ambil paket Gojek Plus. kecewa berat setelah berhenti Gojek Plus selalu lama dapat driver, akun saya seperti di shadow banned dari Gojek. Kecewa!!!"
"Terdapat di media sosial yang memperlihatkan kalau masih banyak para driver goride itu melanggar aturan lalu lintas, seperti melawan arah, naik ke trotoar, dan bahkan merokok saat berkendara. Aku menyarankan untuk memberi hukuman bagi pelanggar mungkin dengan membekukan akun selama 1 atau 2 hari. Melaporkan si driver mungkin dengan cara si customer atau bahkan warga setempat yang melihat bisa memberi laporan ke cs atau pihak yang menangani, tentunya dengan foto berisi no plat dan pelanggarannya."
"setiap mesen grabcar pasti dapatnya selalu yang diatas 10 menit, buat buru"" jadi gabisa, tolong dong sistem nya ngambil driver nya yang terdekat dengan customer."
"apk gag jelasss sih !!! pesen gofud udh nunggu hampir sejam , tiba2 dibatalkan dari apk katanya pesanan terlalu ramai , udh langsung balik ke tampilan awal , pas udh diulang pesanannya tiba2 dpt tlp dari driver nanyain rumah pesenan udh dtg , giliran pesanan yg baru mau dicancle gag bisa udh menghubungi pusat bantuan ..."
"aku mau cerita pengalaman aku selama pakai aplikasi kamu, aku pakai gojek pasti kena driver yang kurang ajar (driver mobil) mereka ga mau CANCEL ORDERAN JADI SENGAJA DIEM DI SATU TITIK LAMAAAA, maksa kita sebagai pengguna buat cancel, AKU SAMPAI KENA SUSPEN TAHU AKUN NYA, berkali-kali di giniin driver gojek, kalo aku keras Kepala bakalan aku tungguin ampe dia nyerah, tapi kan aku buru-buru mau kesuatu tempat, ada lagi yang kurang ajar kalo kita make hemat, tolong kasih solusi :("
"kenapa ya skrg gocar tuh aneh banget, cari driver ga dapet2 padahal ga lagi hujan atau rush hour. nanti keluar app coba cari lagi tau2 harganya naik bisa 3x lipat. yang bener aja masa jarak 2 km an tarif >50rb"
"sering di cancel sama driver gocar, kadang udah Nerima orderan tapi gak sampai² tujuan sampai nunggu nya lama, pas ditanya malah dicancel, minimal sih ada kepastian ya tolong dong gojek dibenerin lgi, udh berkali² dicancel trs"
"Jujur kecewa padahal udah lama pake, aplikasi server down 30 menit, tiket kereta jadi hangus ga jadi pulang, gara gara server down. Minimal kalau tau pengguna naik di up servernya"
"gopaylater gak bisa dipake lagii, padahal gak pernah sama sekali telat bayar,,,tahap review trus gak kelar2 udah 5 bulann,, mending pake aplikasi lain ajh yg bisa paylater ,,, bener2 kecewa pokoknyaaaa"
"Driver apps ini sekarang kompakan pilih pilih customer. kalau rate hemat seperti sengaja ga ada yang mau pick up, sedangkan rate tinggi dipick up. so annoying. mending apps lain aja"
"harga sering berubah tiba-tiba, awalnya murah, setelah 5 menit kemudian harga narik 5-10rb. dan juga claim 15rb gratis voucher karena telat datangnya nggak bisa. aplikasi sering scam kayak pemerintah"
"Tolong untuk pihak resto juga driver khususnya go food , sudah resto nya lama sekali belum gojek nya nyambi orderan aplikasi lain padahal itu dekat dari pemesan hanya berjarak kurang dari 700 meter tapi sampai di saya 2 jam an . tolong tegur resto juga driver yg tidak amanah seperti ini belum lagi tidak bisa kita pantau di aplikasi sengaja di nonaktifkan lokasi berada"
"nunggu gosend 1 jam lebih padahal bukan yang hemat, pilih yang instan. keadaan lg urgent bngt padahal, nyebelin, gajelas. btw ga sekali dua kali kaya gini. tolong perbaiki sistemnya dong. merugikan customer."
"aplikasi busuk, kebanyakan promo, kasian driver nya masa argo mobil d samain sama motor, bukan salah driver nya, salah aplikasi nya, waktu 2018 sebelum covid mudah banget dapetin driver, karena argo nya bagus, makin banyak promo makin males driver ambil penumpang"
"aplikasi nya gk bagus, kalian sendiri yg ngasih harga 5 ribu tapi ternyata gk ada sama sekali yg mau ngerespon terlebih para driver nya bikin sewot ajh gara²aplikasi ini gua jadi terlambat buat dateng ke sekolah 😡😡😡"
"Belum ada solusi kah kalo musim hujan gini???? susah dapet driver, pada gamau narik. mungkin bisa dibuatkan opsi pencarian untuk driver dengan jas hujan. mahal dikit gapapa asal ngga bikin telat kerja. makasih"
gk usah pake hemat2an dah. driver nya gk ada yg mau ambl. ngasi promo ya promo aja. percuma pake hemat2 driver gk ada yg mau ambl. nunggu lama dpt driver trs di cancel. akhrnya pake yg gak hemat juga. PHP itu namanya.
"pesen gocar maupun go ride makin lama...dan maps nya kadang2 masuk gang kecil yg ngk seharusnya di masukin mbil.sllu BKIN debat sama driver2nya tolong perbaiki maps nya.custamer pgen cepet, ongkos ngk masalah dari pada gara2 Ongkos murah maps ngk masuk akal akhir nya ngk ada driver yg mau ambil orderan."
"Nyari driver untuk pesanan makananku gak becus, makanan udah siap, tapi sudah 1 jam masih belum diambil. Katanya ada kendala dalam pencarian driver, namun gak bisa gitu dong. Memang uangku kembali, tapi waktu yang aku habiskan untuk menunggu tidak akan pernah kembali. Apalagi kompensasi hanya berupa voucher yang gak seberapa."
"gojek ada masalah apa sih, saya pesan makanan sudah dari 1 jam yang lalu tapi belum dapat driver dan tidak dapat di batalkan jika waktu estimasi nya belum sampai, jadi saya harus nunggu kalian sendiri yang batalkan karena enggak bisa anterin pesanan saya,, dan saya harus menunggu minimal 1 jam.."
"kecewa dikit sama goride nya, masa ya orang nya ga niat bgt.. motornya di apk ga ada tulisan nya pas dateng ternyata motor supra.. padahal saya pesan yang goride biasa bukan yg hemat.. terus orangnya ini ga pakai jaket gojek. ini bukan perkara jaket, tapi bapak ini tidak rapi dan menurut saya kurang 'bersihan'. tolong ya mimin gojek.. ini gimana solusinya buat orang' kyk gini.. ini juga demi kenyamanan yang lain.. TERIMAKASIHH"
"secara umum aplikasinya sngt bagus,renponsif,cepat juga!!!semisal driver kena macet dan lama bs segera dicari solusi driver lainnya...sangat membantu...baik goCar atau goJek..."
kecewa sama para driver kalau hujan gak mau ambil orderan. 2kali di cancel padahal saya pakai yg tercepat. dan saya pesan juga gak cuma2 pasti saya kasih fee. kecewa
"baru pertama kali gua diginiin padahal pakai aplikasi ini sudah beberapa tahun. gua pesen gocar di spbu shell dket mall alam sutera di cancel 7x, trus pesen gojek ga ada yg pick up sama sekali. cukup kecewa sih dengan layanannya ini"
"Driver yg gak mau ambil pesanan, tapi gak mau cancel orderan, mending suspend aja. Sudah nunggu lama, driver gak dateng2 malah lokasi makin jauh, dihubungi juga gak bisa."
sebenarnya aplikasinya sudah bagus cuma sering kali ada bug yang bikin kurang nyaman antara penumpang dan driver tolong diperbaiki lagi ya selebihnya bagus dan aman
"pesan gojek prioritas sampai gocar prioritas tetap tidak bisa, silahkan tunggu beberapa menit lagi pas dicoba tetap ga bisa padahal urgent. jadi fungsi gojek biasa/prioritas ga ada guna'nya."
tolong lah kalo emang gamau ngasih promo gausah di Adain !!! susah banget nyari driver !! sekali nya dapet jauh apk gajelassss lama lama !! udah sering banget kaya gini !!
"aplikasinya bagus , tapi saya punya pengalaman buruk. Saya dapet driver yang ngak punya kartu emoney dan sebagainya jadi susah untuk jemput padahal saya lagi sakit, tinggal tap doang ngak bayar. kalau emang bayar saya bayarin. hari gini driver ngak punya emoney. mohon pihak aplikasi dibantu agar driver diwajibkan punya emoney dan sebagainya biar memudahkan penjemputan. terima kasih. sudah hampir berkali-kali saya dapat kasus begini. zaman sekarang lokasi sudah pakai emoney."
"kenapa saya tidak bisa melakukan metode pembayaran gopaylater,pas mau chekout pembelian di aplikasi Tokopedia, untuk pembelian angsuran cicilan bulanan di Tokopedia."
"mau pake prioritas atau gak sama AJA!! pake prioritas tuh biar cepet malah sering bgt dapet driver LEMOT merasa rugi banget. tolong di training lagi driver nya, pesen makan dari jam 7 sampe jam 9 lebih baru dateng, makanan saya udah dingin, kira² masih ada selera makan apa ga kalo gtu? ya jelas nggak! rugi waktu, rugi duit!"
"driver banyak pake fake GPS(tuyul) kendaraan tidak sesuai aplikasi, dekat rumah banyak driver tapi malah yg jauh dapatnya, parah bgt nih aplikasi. kecewa download aplikasi ini,,,"
"aplikasi ojol yang masih bisa di pake dan stabil dengan hp yang kapasitas ram nya 2 gb ,mantap pokonya gojek 👍,,,kalo bisa ukurannya di turunin dan di bikin simple aja biar makin lancar buat pengguna hp berkapasitas kecil"
saran untuk tim yang bersangkutan. dengan keluhan saya saat ini. dalam beberapa hari saya sering pakai gocar untuk ke RS. gila harganya gak ngotak tiap pesan 60rb di jarak 20km dri rumah saya ke Rumah Sakit. tolong di atur lagi. mungkin khusus untuk tujuan di rumah sakit harga di sesuaikan jam berapapun order entah pagi atau malam hari. dan drivernya juga jika kena promo sama sekali gk ada yang ambil hampir 1jam waktu ke buang karena gk ada yg menerima tarif promo dan promo itu hanya 1x.
"CS anda gk solutif, protes gofood datang terlalu lama malah end chat begitu saja. saya pesan makanan, pilih ekspress 2x dibatalkan gitu aja 5 menit sebelum mendapatkan ganti rugi voucher, bahkan saya menunggu 2 jam."
"aplikasinya sangat membantu dan ada keamanan yang jelas juga walau sedikit ribet tapi itu karena detail. Tapi saran dari aku tolong di kasih informasi juga tentang warna kendaraan yang di pesan, yah… soalnya agak ribet kalo mau ngintip plat kendaraan setiap ada gojek yang dateng… makasihh ^^"
"mencari driver benar-benar sangat susah dan tidak ada konsekuensi bagi driver yang meng cancel setelah menunggu lebih dari 10 menit. Secara aplikasi sudah cukup baik, akan tetapi sistem pencarian drivernya sangatlah tidak efektif dan membuang banyak waktu."
"Aku tiap hari pakai gojek, tiap hari ada promo hemat.. tapi percuma gak bisa dipakai, driver gak ad yang mau ambil.. gak usah lah diadain hemat hemat itu gak jelas"
"makanya jangan pakai aplikasi maunya murah ,cepet,dan bagus .driver juga banyak kebutuhan,perawatan kendaraan,dll. pakai standart pasti banyak driver yang mau. penumpang bandan besar pesen yang hemat"
"kalau sistem kaya gini pelanggan pada pindah ke aplikasi sebelah Biasanya kalau pesan langsung masuk ke drever terdekat, sekarang malah pada jauh jauh alhasil pada di rugikan pelanggan sama drever ,pelanggan nunggu lama Drever harus jemput jauh. apalagi sekarang ada pitur tambahan biaya kalau mau yg dekat,Tapi itu juga gangejamin dapat yg dekat"
"betul lagi musim ujan cari driver susah dan jauh, tapi kalo gak ujan tolonglah yang goride hemat jangan dibikin jauh juga.. klo goride hemat yang biasanya nunggu paling lama cm 5 menit sekarang bisa sampe 10 menit, wasting time. kalo memang itu goride hemat tidak menguntungkan perusahaan kenapa diadakan?? udah gitu pas ujan ada pilihan harga yang hemat dan reguler (harga dinaikin 2x lipat) tapi dapet driver ttp jauh & lama. padahal udah lebih dari 5th suka aplikasi ini, tp sekarang mengecewakan."
"Gak guna dibuat GOJEK HEMAT kalau Driver nya gak ada yg mau ambil di waktu pagi hari. Padahal disitu banyak² nya penumpang yg butuh driver (goride). Lihat di maps banyak goride nongkrong, tp 1 pun gak ada yg mau ambil kalau pakai GORIDEHEMAT. Tolong dikasih sanksi aja buat driver yg mau ambil orderan pilih² harga. Beda bangett jauhh sama Aplikasi Ojol sebelah !"
Saya sudah menggunakan aplikasi terbaru. untuk cek tampilan saldo butuh lebih dari 2 menit waktu tunggu padahal buka menu lain tidak masalah
"Aplikasi paling buruk diantara semua aplikasi food delivery, sudah biaya mahal, mencekik driver, dan juga tidak bebas membatalkan/mengubah metode pengantaran. Saya perlu menunggu kopi saya selama 1 jam untuk toko kopi yang kosong ketika saya datangi langsung"
"aduhh ini kenapa ya setiap buka aplikasinya selalu delay buat ke fitur²nya, saya pakai aplikasi sebelah aman aja trs knpa ini selalu lama? mau pesan pun jadi nunggu gara² stuck loading"
"gak ngerti buat apa fitur hemat tapi kalau digunain malah gak ada driver yg ambil, sekalinya ada posisinya jauh. please tiadakan fitur yg tidka berguna. upgrade lagi deh pelayanannya."
"Pesan gofood lama banget, tiba2 cancel karena entah alasan apa (tdk ada keterangan). Nunggu hampir sejam, buang2 waktu. Trus gaada kompensasi sama sekali!? Aneh"
"kebiasaan banget susah banget dapat driver ojeknya apa karna pilih promo jadi di abai kan mending gak usah ada pilihan promo2 dah, padahal gak lagi hujan , kalau hujan maklumi gak kaya si kuning hujan atau macet driver cepat dapatnya"
"Lengkap dan Banyak fiturnya, seperti Go Transit dan Go Box. Jadi pesannya lebih simple"
"Tiap pembayaran selalu yg muncul awal pasti opsi pakai paylater, tiba2 ada denda 50.000 karena telat bayar paylater, padahal bulan lalu merasa nggak pakai, pas di cek bener aja ada transaksi yg nggak sngaja kebayar pake paylater, padahal transaksi 3k doangggg, dendanyaaa 50k edan"
"apk nya udh bagus cm agak kureng, kadang ada driver yg ngambil orderan kita terus di cancel, berkali kali sampe apknya juga error, mana errornya lama ganggu banget disaat butuh. next diperbaiki lagi."
"untuk pemesanan gocar tolong di filter lagi..driver pada nggak niat semua..sudah di tunggu 5menit,ga ada gerak di peta..di chat juga tidak di balas..sudah ganti 3 driver,dari gocar hemat,gocar biasa,gocar prioritas tetap di peta tidak gerak dan di chat tidak di balas"
"suka error, barusan kejadian gabisa di cancel drivernya akhirnya sampe dateng ke rumah akhirnya kita bayar, di tingkatin lagi lah aplikasinya"
"saya revisi bintang dri 3 ke 1, hari ini saya pesan goride ditolak 1x, lalu dapet driver baru gak gerak ditelpon sma di chat gak direspon, saya batalkan setelah 15 menit, pas pesan lagi harganya naik dari 42 ke 64rb gila berasa diperes sma goride, total waktu kebuang 35menitan cuma nunggu gak jelas, kalau dapet driver selalu jauh gak pernah deket, padahal ada banyak driver disekitar, dan kejadian ini sudah kesekian kalinya, mending pake aplikasi sebelah, kecewa berat sma goride"
"gajelas segala ada fitur gabisa nerima transaksi dulu karna lagi rame rame nya, orang lagi buru buru di persulit gini, udah coba relog lagi tetep aja sama gabisa order 😒👎"
"sekarang susah banget dapet driver, sekalinya dapet malah yang jauh, gk kaya dulu. mau jajan pk qris juga suka susah scan barcodenya kadang emang gk bisa."
"tolong, dichat kendala jangan otomatis, lebih baik custemer bisa mengetik aja, soalnya yg tau kedaan resto sebenernya tuh driver dan custemer, pengalaman saya tadi ketika driver sudah sampe resto dan sudah dipin dari pihak resto lalu driver disuruh nunggu ternyata makanan tak tersedia, kasian drivernya, untuk dibatalin pun sulit, dan saya sebagai custemer ga masakah kalo ganti makanan lain, tapi makanan yg saya pilih malah ga bisa jadi harus sesuai sama kebijakan resto penggantian makanannya"
"ini kenapa cari driver susah banget sih? Udah pesan express masih aja telat. udah 2 kali dapat masalah bgini, customer lain sepertinya juga begitu tapi belum ada pembenahan. minimal tambahkan fitur batalkan pembelian kalau terlalu lama nunggu driver. ini sejam nunggu belum ada driver."
"sejak kapan saya berlangganan gojek plus, transaksi otomatis tanpa sepengetahuan pengguna saldo langsung berkurang minimal ada persetujuan dulu atau konfirmasi transaksi"
"selamat malam gojek,,sy itu bingung padahal saya tidak pernah telat melakukan pembayaran angsuran gopay pinjam tapi kenapa setelah lunasi malah tidak bisa melakukan pinjaman LG di aplikasi tertulis bisa melakukan lagi tgl 14 April 2026,,tolong lah pihak gojek bisa lebih cermat melihat yg pembayaran angsuran benar dan tidak pernah telat semesti nya di prioritas kan,,mungkin itu saja dari saya semoga pihak gojek bisa lebih cermat melihat nya,, terimakasih"
"Tolong diperbaiki untuk sistem notifnya. Saya selalu update gojek ke versi terbaru, tapi pesan dari driver maupun resto (untuk layanan gofood) sering tidak tampil di bilah notifikasi, sedangkan untuk notifikasi promo kalian bisa bikin rame banget."
"saya mulai sebel sama aplikasi ini, akhir ini susah banget dapat gocar padahal bukan di jam sibuk, apalagi kl cuaca mendung 2 jam order gak dpt2 lama2 saya uninstal juga ini aplikasi"
"di kolom pencarian kok gangguan melulu yah... saya mau mesen makanan pas di cari "" maaf lagi gangguan"". kalau di menu gofoodnya masih bisa di klik dan tidak gangguan, tapi mahal² tampilannya aja yang -50% discount tapi gak sesuai fakta dan kurang banyak menunya!!!! tolong diperbaiki kolom pencariannya, jangan gangguan melulu !!!!"
"tolong untuk gofood, jika 15 menit driver tidak ada, ya otomatis batalkan aja, lah ini, saya udah nunggu satu jam an nunggu go food, dari jam 1.15 smpe jam 2.32, eh pas 2.33 baru batal sendiri, orang laper woi, malah disuruh nunggu satu jam lebih, mana dibatalin lagi"
saya hanya menghimbau saja.khususnya di wilayah pati jawa tengah.itu kebanyakan kalau order sangat sulit&asal kalian tau aplikator driver kalian itu doble job.mereka kebanyakan lebih sering memakai aplikasi kompetitor kalian grab.saya pernah order go ride.dapet driver malah saya di suruh nunggu karena driver masih menjalankan grab foodnya.dalam hati saya kurang ajar sekali driver kalian.
"saya telah beli tiket krl, mana lagi terburu² untuk pergi kerja. Malah ada gangguan. Tolong untuk developer nya diperbaiki lagi ya"
